"Avid Tech Inc","2017-03-31T00:00:00","AVID","Avid Tech Inc"
"Aviragen Therapeutic","2017-03-31T00:00:00","AVIR","Aviragen Therapeutic"
"Aviat Networks Inc","2017-03-31T00:00:00","AVNW","Aviat Networks Inc"
"Anavex Lf SC Cmn","2017-03-31T00:00:00","AVXL","Anavex Lf SC Cmn"
"Avexis Inc Cmn Stk","2017-03-31T00:00:00","AVXS","Avexis Inc Cmn Stk"
"Aware Inc","2017-03-31T00:00:00","AWRE","Aware Inc"
"Axar Acquisition Corp","2017-03-28T00:00:00","AXAR","Axar Acquisition Corp"
"Axar Acquisition Corp","2017-03-31T00:00:00","AXARW","Axar Acquisition Corp"
"Abraxas Petro Corp","2017-03-31T00:00:00","AXAS","Abraxas Petro Corp"
"Accelerate Diagnosti","2017-03-31T00:00:00","AXDX","Accelerate Diagnosti"
"Axogen Inc Cmn","2017-03-31T00:00:00","AXGN","Axogen Inc Cmn"
"Axsome Thera Cmn Stk","2017-03-31T00:00:00","AXSM","Axsome Thera Cmn Stk"
"Axt Inc","2017-03-31T00:00:00","AXTI","Axt Inc"
"Amaya Inc Cmn Stk","2017-03-31T00:00:00","AYA","Amaya Inc Cmn Stk"
"Aspen Technology Cmn","2017-03-31T00:00:00","AZPN","Aspen Technology Cmn"
"Azurrx Biopharma Inc","2017-03-31T00:00:00","AZRX","Azurrx Biopharma Inc"
"Natus Medical Inc","2017-03-31T00:00:00","BABY","Natus Medical Inc"
"Bancfirst Corp","2017-03-31T00:00:00","BANF","Bancfirst Corp"
"Bfc Capital Trust II","2017-03-31T00:00:00","BANFP","Bfc Capital Trust II"
"Banner Corporation","2017-03-31T00:00:00","BANR","Banner Corporation"
"Stonecastle Fncl Cp","2017-03-31T00:00:00","BANX","Stonecastle Fncl Cp"
"Bioanalytical Syst","2017-03-31T00:00:00","BASI","Bioanalytical Syst"
"Liberty Braves CS A","2017-03-31T00:00:00","BATRA","Liberty Braves CS A"
